variavel,descricao,tipo,subtipo
vinícola,Nome da vinícola,qualitativa,nominal
vinho,Nome do vinho,qualitativa,nominal
ano,Ano em que as uvas foram colhidas,quantitativa,discreta
avaliação,Avaliação média dada ao vinho pelos usuários [de 1-5],quantitativa,contínua
num_avaliações,Número de usuários que avaliaram o vinho,quantitativa,discreta
região,Região do vinho,qualitativa,nominal
preço,Preço em euros [€],quantitativa,contínua
tipo,Variedade de vinho,qualitativa,nominal
corpo,"Pontuação de corpo, definida como a riqueza e peso do vinho na boca [de 1-5]",qualitativa,ordinal
acidez,"Pontuação de acidez, definida como o frescor e a sensação de 'salivação' do vinho [de 1-5]",qualitativa,ordinal
Categoria,"Categoria principal do vinho, como Tintos, Brancos ou Rosés",qualitativa,nominal
