vinícola,vinho,ano,avaliação,num_avaliações,região,preço,tipo,corpo,acidez,Categoria
Teso La Monja,Tinto,2013.0,4.9,58,Toro,995.0,Toro Red,5,3,Vinhos Tintos
Artadi,Vina El Pison,2018.0,4.9,31,Vino de Espana,313.5,Tempranillo,4,2,Vinhos Tintos
Vega Sicilia,Unico,2009.0,4.8,1793,Ribera del Duero,324.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1999.0,4.8,1705,Ribera del Duero,692.96,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1996.0,4.8,1309,Ribera del Duero,778.06,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1998.0,4.8,1209,Ribera del Duero,490.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2010.0,4.8,1201,Ribera del Duero,349.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1995.0,4.8,926,Ribera del Duero,810.89,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2015.0,4.8,643,Ribera del Duero,345.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2011.0,4.8,630,Ribera del Duero,315.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2016.0,4.8,591,Ribera del Duero,514.85,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Carraovejas,El Anejon,2016.0,4.8,454,Ribera del Duero,105.15,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2018.0,4.8,438,Ribera del Duero,430.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1970.0,4.8,417,Ribera del Duero,925.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Toro Albala,Don PX Convento Seleccion,1946.0,4.8,398,Montilla-Moriles,350.0,Pedro Ximenez,5,1,Vinhos Fortificados
Pago de Carraovejas,Cuesta de Las Liebres,2015.0,4.8,372,Ribera del Duero,166.18,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1962.0,4.8,295,Ribera del Duero,1620.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2019.0,4.8,250,Ribera del Duero,431.36,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas El Nido,El Nido,2018.0,4.8,217,Jumilla,195.63,Red,4,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2004.0,4.8,211,Ribera del Duero,824.43,Ribera Del Duero Red,5,3,Vinhos Tintos
Valdespino,Toneles Moscatel,,4.8,174,Jerez-Xeres-Sherry,253.0,Sherry,4,3,Vinhos Fortificados
Vega Sicilia,Unico Reserva Especial Edicion,2013.0,4.8,172,Ribera del Duero,570.51,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2016.0,4.8,145,Ribera del Duero,1280.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Toro Albala,Don PX Convento Seleccion,1931.0,4.8,139,Montilla-Moriles,244.85,Pedro Ximenez,5,1,Vinhos Fortificados
Vega Sicilia,Unico Reserva Especial Edicion,2010.0,4.8,125,Ribera del Duero,719.34,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1979.0,4.8,118,Ribera del Duero,815.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Toro Albala,Don PX Pedro Ximenez,1946.0,4.8,103,Montilla-Moriles,285.86,Pedro Ximenez,5,1,Vinhos Fortificados
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004.0,4.8,87,Priorato,1410.26,Priorat Red,4,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2005.0,4.8,87,Ribera del Duero,813.96,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2020.0,4.8,84,Ribera del Duero,435.75,Ribera Del Duero Red,5,3,Vinhos Tintos
Ordonez,Vatan Arena Tinta de Toro,2014.0,4.8,79,Toro,369.05,Toro Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,1985.0,4.8,70,Ribera del Duero,1182.77,Ribera Del Duero Red,5,3,Vinhos Tintos
Toro Albala,Don PX Convento Seleccion,1929.0,4.8,69,Montilla-Moriles,227.95,Pedro Ximenez,5,1,Vinhos Fortificados
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999.0,4.8,68,Ribera del Duero,999.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vina Sastre,Pesus Ribera del Duero,2007.0,4.8,68,Ribera del Duero,360.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Teso La Monja,Tinto,2012.0,4.8,56,Toro,1190.0,Toro Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2017.0,4.8,52,Ribera del Duero,1150.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Teso La Monja,Tinto,2009.0,4.8,50,Toro,950.0,Toro Red,5,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008.0,4.8,40,Priorato,1021.21,Priorat Red,4,3,Vinhos Tintos
Sierra Cantabria,Magico,2016.0,4.8,40,Rioja,544.5,Rioja Red,4,3,Vinhos Tintos
Teso La Monja,Tinto,2011.0,4.8,32,Toro,1295.0,Toro Red,5,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017.0,4.8,31,Priorato,992.2,Priorat Red,4,3,Vinhos Tintos
Teso La Monja,Tinto,2015.0,4.8,28,Toro,1289.44,Toro Red,5,3,Vinhos Tintos
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017.0,4.8,26,Bierzo,1098.9,Red,4,3,Vinhos Tintos
La Rioja Alta,Gran Reserva 890,1985.0,4.8,26,Rioja,215.34,Rioja Red,4,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018.0,4.8,26,Priorato,1094.9,Priorat Red,4,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Ribera del Duero,423.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2010.0,4.7,5266,Ribera del Duero,239.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2014.0,4.7,4350,Ribera del Duero,175.5,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2006.0,4.7,3929,Ribera del Duero,194.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2005.0,4.7,3437,Ribera del Duero,381.15,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2004.0,4.7,3164,Ribera del Duero,584.43,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2000.0,4.7,3127,Ribera del Duero,555.2,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2007.0,4.7,2935,Ribera del Duero,445.28,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2015.0,4.7,2826,Ribera del Duero,189.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2006.0,4.7,2765,Ribera del Duero,362.25,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2008.0,4.7,2480,Ribera del Duero,289.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2003.0,4.7,2419,Ribera del Duero,325.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2016.0,4.7,2177,Ribera del Duero,107.57,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2005.0,4.7,1892,Ribera del Duero,234.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,2002.0,4.7,1199,Ribera del Duero,500.94,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1991.0,4.7,1141,Ribera del Duero,698.9,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1994.0,4.7,940,Ribera del Duero,872.47,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2000.0,4.7,935,Ribera del Duero,877.85,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1990.0,4.7,690,Ribera del Duero,827.94,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Carraovejas,Cuesta de Las Liebres,2014.0,4.7,685,Ribera del Duero,113.18,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1989.0,4.7,675,Ribera del Duero,679.72,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1987.0,4.7,593,Ribera del Duero,787.59,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2017.0,4.7,560,Ribera del Duero,480.06,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Carraovejas,El Anejon,2015.0,4.7,543,Ribera del Duero,75.1,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas El Nido,El Nido,2014.0,4.7,511,Jumilla,154.9,Red,4,3,Vinhos Tintos
Bodegas El Nido,El Nido,2013.0,4.7,476,Jumilla,145.0,Red,4,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,1996.0,4.7,442,Ribera del Duero,290.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986.0,4.7,425,Rioja,795.0,Rioja White,3,3,Vinhos Brancos
Bodegas El Nido,El Nido,2016.0,4.7,393,Jumilla,371.78,Red,4,3,Vinhos Tintos
Bodegas El Nido,El Nido,2008.0,4.7,347,Jumilla,134.19,Red,4,3,Vinhos Tintos
Vinedos de Paganos,La Nieta,2015.0,4.7,312,Rioja,82.58,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Unico,1981.0,4.7,308,Ribera del Duero,873.86,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2007.0,4.7,303,Ribera del Duero,774.4,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Valderramiro,2016.0,4.7,300,Ribera del Duero,84.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2001.0,4.7,295,Ribera del Duero,940.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1986.0,4.7,292,Ribera del Duero,812.63,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Malleolus de Sanchomartin,2016.0,4.7,291,Ribera del Duero,116.54,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2004.0,4.7,285,Ribera del Duero,1500.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2006.0,4.7,280,Ribera del Duero,1190.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas El Nido,El Nido,2017.0,4.7,268,Jumilla,154.85,Red,4,3,Vinhos Tintos
Teso La Monja,Alabaster,2016.0,4.7,264,Toro,135.0,Toro Red,5,3,Vinhos Tintos
Quinta de la Quietud,La Mula de la Quietud,2015.0,4.7,256,Toro,63.75,Toro Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1985.0,4.7,254,Ribera del Duero,827.94,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017.0,4.7,251,Castilla y Leon,66.07,Tempranillo,4,2,Vinhos Tintos
Bodega Contador (Benjamin Romeo),Contador Rioja,2012.0,4.7,243,Rioja,213.9,Rioja Red,4,3,Vinhos Tintos
Remirez de Ganuza,Maria Remirez de Ganuza,2006.0,4.7,240,Rioja,234.9,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Unico,1968.0,4.7,225,Ribera del Duero,2087.25,Ribera Del Duero Red,5,3,Vinhos Tintos
Vinedos de Paganos,La Nieta,2018.0,4.7,220,Rioja,89.9,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Unico,1964.0,4.7,214,Ribera del Duero,1384.54,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1982.0,4.7,205,Ribera del Duero,820.98,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,2015.0,4.7,203,Ribera del Duero,1250.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,1995.0,4.7,196,Ribera del Duero,1500.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Dominio de Pingus,Pingus,1999.0,4.7,184,Ribera del Duero,1715.18,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Unico,1974.0,4.7,173,Ribera del Duero,932.3,Ribera Del Duero Red,5,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998.0,4.7,171,Priorato,1372.14,Priorat Red,4,3,Vinhos Tintos
Bodegas San Roman,Cartago Paraje de Pozo,2015.0,4.7,137,Toro,78.9,Toro Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2012.0,4.7,136,Ribera del Duero,660.96,Ribera Del Duero Red,5,3,Vinhos Tintos
Pago de Los Capellanes,Parcela El Picon Tinto,2009.0,4.7,134,Ribera del Duero,154.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Vega Sicilia,Valbuena 5o,2017.0,4.7,133,Ribera del Duero,134.89,Ribera Del Duero Red,5,3,Vinhos Tintos
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000.0,4.7,132,Priorato,1422.96,Priorat Red,4,3,Vinhos Tintos
Bodega Numanthia,Termanthia,2005.0,4.7,131,Toro,207.11,Toro Red,5,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,2011.0,4.7,131,Ribera del Duero,340.49,Ribera Del Duero Red,5,3,Vinhos Tintos
Emilio Moro,Clon De La Familia,2010.0,4.7,127,Ribera del Duero,317.63,Ribera Del Duero Red,5,3,Vinhos Tintos
Alto Moncayo,Aquilon Garnacha,2011.0,4.7,123,Campo de Borja,108.9,Grenache,5,3,Vinhos Tintos
Vega Sicilia,Unico,1983.0,4.7,118,Ribera del Duero,700.0,Ribera Del Duero Red,5,3,Vinhos Tintos
Toro Albala,Don PX Convento Seleccion,1955.0,4.7,117,Montilla-Moriles,185.0,Pedro Ximenez,5,1,Vinhos Fortificados
Vega Sicilia,Unico,1980.0,4.7,116,Ribera del Duero,911.43,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodega Contador (Benjamin Romeo),Contador Rioja,2005.0,4.7,112,Rioja,1150.0,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Unico,1972.0,4.7,110,Ribera del Duero,698.95,Ribera Del Duero Red,5,3,Vinhos Tintos
Bodega Numanthia,Termanthia,2004.0,4.7,108,Toro,2814.16,Toro Red,5,3,Vinhos Tintos
Teso La Monja,Tinto,2010.0,4.7,102,Toro,1325.0,Toro Red,5,3,Vinhos Tintos
Alvaro Palacios,Quinon de Valmira,2015.0,4.7,102,Rioja,527.26,Rioja Red,4,3,Vinhos Tintos
Vega Sicilia,Unico Reserva Especial Edicion,1987.0,4.7,100,Ribera del Duero,1071.45,Ribera Del Duero Red,5,3,Vinhos Tintos
